Jitter,Country name,Regional indicator,Ladder score
2.2,Egypt,Middle East and North Africa,4.283
8.1,Ethiopia,Sub-Saharan Africa,4.275
8.0,Mauritania,Sub-Saharan Africa,4.227
8.0,Madagascar,Sub-Saharan Africa,4.208
8.2,Togo,Sub-Saharan Africa,4.107
7.9,Zambia,Sub-Saharan Africa,4.073
8.1,Sierra Leone,Sub-Saharan Africa,3.849
9.1,India,South Asia,3.819
8.2,Burundi,Sub-Saharan Africa,3.775
1.9,Yemen,Middle East and North Africa,3.658
8.1,Tanzania,Sub-Saharan Africa,3.623
2.9,Haiti,Latin America and Caribbean,3.615
8.1,Malawi,Sub-Saharan Africa,3.6
8.1,Lesotho,Sub-Saharan Africa,3.512
8.1,Botswana,Sub-Saharan Africa,3.467
8.1,Rwanda,Sub-Saharan Africa,3.415
7.9,Zimbabwe,Sub-Saharan Africa,3.145
9.1,Afghanistan,South Asia,2.523
